number,text,sentiment,sentiment_score,stance,stance_score
49,ドルの頃は今日ぐらいガンガン運ぶイメージやったわ これからもやってほしい マカティは移籍希望の報道出て貰ったチャンスでいきなり仕事するんやからすごい,POSITIVE (0.187),0.187,強く反対 (0.277),0.277
50,よっしゃあああああああ 年末にして完勝 ターンオーバーも出来て素晴らしい,POSITIVE (0.988),0.988,強く反対 (0.258),0.258
51,いやー気持ちの良い快勝,POSITIVE (0.902),0.902,強く反対 (0.274),0.274
52,遠藤も良かったし良い正月迎えれるな,POSITIVE (0.986),0.986,強く反対 (0.276),0.276
53,今年の締めに相応しい試合だった 願わくば来年もこの強さを,POSITIVE (0.956),0.956,強く反対 (0.260),0.26
54,夜更かしした甲斐はあったわ なんの不満もない これ4枚持ちのイエローは10枚まで伸びたんだっけひと試合少ないからリーチのままシステムよく分からん,POSITIVE (0.876),0.876,強く賛成 (0.253),0.253
55,クリーンシートなのが素晴らしすぎ,POSITIVE (0.973),0.973,強く反対 (0.262),0.262
56,いい試合だった ただ良くも悪くもサラーのコンディション次第なチームだな,POSITIVE (0.759),0.759,強く反対 (0.262),0.262
57,よっしゃ ジロー早めに下げれて点とって欲しい人がゴールしてクリーンシートで得失点差も28まで伸びた 気持ちよく年越せるな 2位がフォレストなのは想定外だけどw,POSITIVE (0.869),0.869,強く反対 (0.245),0.245
58,マクアリアンカーでカーティスエリオットIH気味の形も有り得たけど得点差的に遠藤で終わらせに行くのはちょうどいい状況だったな ゴメスの怪我を見越して遠藤のコンディション上げときたいってのもあったかもしれんね,NEUTRAL (0.162),0.162,強く賛成 (0.283),0.283
59,アーノルドのセレブレーションベリンガムのやつだったの草,NEUTRAL (0.778),0.778,強く賛成 (0.249),0.249
60,ゴメス平気かな コナテ復帰してもカラバオFA要員でいて欲しいんだが,NEUTRAL (0.983),0.983,強く反対 (0.273),0.273
61,上位対決を確実に勝っていくならやっぱロバートソンのとこヤバすぎるから補強はいるんだろうな ただゴメス怪我したんでCBの補強も急務ってことでこの冬フロントの本気をみせてくれ,NEUTRAL (0.288),0.288,強く反対 (0.275),0.275
62,ほぼゲーム終わってる時にツィミカス出てきたからどうなのか分からないな スロット的にダメなんかね,NEGATIVE (0.948),0.948,強く反対 (0.280),0.28
63,ゴメス大丈夫かなー DFの層がやばくなってきた,NEUTRAL (0.671),0.671,強く反対 (0.264),0.264
64,遠藤が居る ヒューズは冬の補強で夏のしょうもない補強を取り戻せよ 実質補強0みたいなことやってんだから,NEUTRAL (0.598),0.598,強く反対 (0.259),0.259
65,完璧なポジショニングに完璧なコンビネーションを与えたらこんなことになるんだな サラーも今まで実は足枷つけてサッカーやってたと考えるととんでもないな 今はっきりみててわかるけどサラーが背負って強引に反転して突破みたいなシーンがなくなったおかげで攻撃にパワー残せてるのが一番大きいなマジで,POSITIVE (0.831),0.831,強く賛成 (0.265),0.265
66,ゴメス長くなりそうbyスロット,NEUTRAL (0.169),0.169,強く反対 (0.311),0.311
67,ゴメスは怪我しがちな上にもう27だからまぁほんとスタメンで使うってこと自体がやっぱ厳しかったか グエイクラス獲りにいくのかもしくはAシウバあたりを狙うのかかな ゴメスが怪我した以上はSB補強は後回しになる可能性高そうだなぁこれ,NEGATIVE (0.659),0.659,強く反対 (0.273),0.273
68,ゴメスのパフォーマンスは滅茶苦茶良いし実際このやばい過密切り抜けられたのは間違いなくゴメスのおかげなんだけどね ただまぁこうなった以上はもう仕方ないしどのみちもう1枚CBいると言われてたから仕方ない,NEGATIVE (0.572),0.572,強く反対 (0.252),0.252
69,やっぱリーグ後半戦は過密日程が続くから遠藤は必要だな,NEUTRAL (0.175),0.175,強く反対 (0.292),0.292
70,フラーフェンのパフォーマンスが露骨に悪くなってきてるな まあ疲労もあるからしゃーないが,NEGATIVE (0.983),0.983,強く反対 (0.309),0.309
71,サラーダイクフラーフェンはさすが酷使しすぎだわな,NEGATIVE (0.917),0.917,強く反対 (0.274),0.274
72,サラーは代表ウィーク少し休めている ダイクは省エネプレーしている フラッフェンベルフは少し心配,NEGATIVE (0.970),0.97,強く反対 (0.321),0.321
73,フラフェンが累積疲労の影響が出てきてるか 他はちょくちょく休めてるからな,NEUTRAL (0.534),0.534,強く反対 (0.306),0.306
74,カラバオも含めてカップ戦と1月入ってからのCL2試合は遠藤スタメンにしないと1年持たなそうだな あとゴメスが長ければCBかなぁ 左SBは放出ありきだし夏だろうな,NEUTRAL (0.582),0.582,強く反対 (0.260),0.26
75,今シーズンのサラーはアンリの24ゴール20アシストのシーズン記録更新しそうだな,POSITIVE (0.545),0.545,強く賛成 (0.254),0.254
76,つかディアスえぐくないか 偽9番で真価発揮されすぎだろ ゴール嗅覚オフボ味方スペース作りどれも一級品だぞ,POSITIVE (0.797),0.797,強く反対 (0.263),0.263
77,ガクポ左でジョタが左も真ん中も出来るからヌニェス売って左効きのアタッカー欲しいよな バランス的にも,POSITIVE (0.065),0.065,強く反対 (0.278),0.278
78,とりあえず現状はガクポディアスサラーの並びが前線のアンサーだな,NEUTRAL (0.696),0.696,強く反対 (0.285),0.285
79,次は新年6日まで試合ないのかー 選手にとってはやっと1週間休めるがせっかくの正月に試合ないのは寂しいのお,NEGATIVE (0.977),0.977,強く反対 (0.275),0.275
80,横浜SVリートのDFハーフナー・ニッキへ獲得オファー 長身CB実現すれば10年ぶり日本復帰,POSITIVE (0.793),0.793,強く反対 (0.272),0.272
81,ニッキキタ(゚゚)( ゚)( ゚)( )( )(゚ )(゚ )(゚゚),NEUTRAL (0.581),0.581,強く反対 (0.265),0.265
82,鞠がまさかのハーフナーニッキ,NEUTRAL (0.830),0.83,強く反対 (0.239),0.239
83,ニッキってマジで言ってるのか,NEUTRAL (0.614),0.614,強く反対 (0.251),0.251
84,ニッキでJ1とか無理ゲーだろマリノスw,NEUTRAL (0.786),0.786,強く反対 (0.300),0.3
85,ニッキ知らんうちにホルンから脱出してたのか,NEUTRAL (0.735),0.735,強く反対 (0.252),0.252
86,ニッキ未知数過ぎるだろw,NEUTRAL (0.265),0.265,強く反対 (0.277),0.277
87,CB本当に品薄状態だな,NEGATIVE (0.932),0.932,強く反対 (0.274),0.274
88,マリノスは獲得する選手の身長が極端すぎる,NEGATIVE (0.545),0.545,強く反対 (0.244),0.244
89,ニッキ たしかにこれはびっくりディール,NEUTRAL (0.139),0.139,強く反対 (0.264),0.264
90,CB抜けてもダメージないアピールしてたけどパニックニッキしてんじゃねえか,NEGATIVE (0.722),0.722,強く反対 (0.265),0.265
91,遠野にハーフナーニッキってあんた,NEUTRAL (0.753),0.753,強く反対 (0.295),0.295
92,西野の欧州コレクション(試合に出ない漬物石)始まったな,POSITIVE (0.052),0.052,強く反対 (0.314),0.314
93,とりあえず取れそうな日本人CBって感じがスゴいw,POSITIVE (0.954),0.954,強く賛成 (0.242),0.242
94,ハイラインとか無理だよニッキじゃ健太なら合いそうだけど,NEUTRAL (0.028),0.028,強く反対 (0.269),0.269
95,ニッキはまだ29なんだ 兄貴と結構年離れてるな,NEUTRAL (0.701),0.701,強く反対 (0.285),0.285
96,ニッキてずっと2部だけどまだ20代だったんだな,NEUTRAL (0.819),0.819,強く反対 (0.283),0.283
97,あと2ヶ月で30歳だけど,NEUTRAL (0.780),0.78,強く反対 (0.257),0.257
98,ヨーロッパでめちゃくちゃ成長してる可能性が微レ存 ちょっと前にスイスでEL出場したのは知ってたけどいつのまにかオーストリア2部まで落ちてたんだな,NEUTRAL (0.089),0.089,強く反対 (0.277),0.277
99,ハーフナーマイクは鞠アカデミー出身だけどハーフナーニッキも鞠アカデミーなんだっけ,NEUTRAL (0.892),0.892,強く反対 (0.244),0.244
100,鯱の印象しかない,NEGATIVE (0.887),0.887,強く反対 (0.300),0.3
1,いや名古屋 その前は川崎,NEUTRAL (0.877),0.877,強く反対 (0.286),0.286
2,HGでもないのかよ どんなリクエストなんだ,NEUTRAL (0.881),0.881,強く反対 (0.293),0.293
3,鞠マジで大丈夫か西野って実はやべえんじゃねえのコレ 浦和でもこういう使えたら俺の手柄使えなかったら知らねっていう選手ばっか取ってなかったか,NEGATIVE (0.371),0.371,強く反対 (0.271),0.271
4,山村實藤ニッキで序列同列くらいだろ 上島畠中からだいぶ落ちそう,NEUTRAL (0.013),0.013,強く反対 (0.275),0.275
5,CBの人材不足は相当だな ニッキなんて本来J2が獲りに行くレベルだろ,NEGATIVE (0.290),0.29,強く反対 (0.252),0.252
6,ニッキ去年が27試合7ゴール4アシストで 3年前が30試合7ゴールしてるし今どのポジションやってんのよこれ,NEUTRAL (0.256),0.256,強く反対 (0.278),0.278
7,守備の補強だと思ってたが得点力上げるためだったか,NEUTRAL (0.850),0.85,強く反対 (0.266),0.266
8,ニッキ大作戦は凄そうだなオーロイ思い出す,POSITIVE (0.935),0.935,強く反対 (0.282),0.282
9,山村ニッキはハイボールには異様に強そう 引きこもりサッカーならいけるか,POSITIVE (0.955),0.955,強く反対 (0.269),0.269
10,ニッキって鞠はマジで金ないのかよ 補強ひどすぎるわ,NEGATIVE (0.981),0.981,強く反対 (0.265),0.265
11,ハーフナーニッキ 2425 オーストリア2部 14試合1ゴール イエローカード5枚(1回退場あり) 大丈夫か カード多過ぎる,NEUTRAL (0.115),0.115,強く反対 (0.292),0.292
12,これでマリノスがひたすらクロスとロングボールを放り込む昔のイングランド式サッカーやったら面白い,POSITIVE (0.953),0.953,強く反対 (0.282),0.282
13,ニッキw,NEUTRAL (0.815),0.815,強く反対 (0.248),0.248
14,ハーフナーワロタ 大丈夫か,NEUTRAL (0.066),0.066,強く反対 (0.310),0.31
15,全く予想してなかったところからきたw,NEUTRAL (0.389),0.389,強く反対 (0.254),0.254
16,どんな状態なのかさっぱりわからんけどニッキって国籍は日本なんか,NEUTRAL (0.511),0.511,強く反対 (0.280),0.28
17,若返ってもないし じゃあ畠中に年俸積んでやれよw,POSITIVE (0.591),0.591,強く反対 (0.275),0.275
18,予想外のところから来たな 国籍は日本だよね 日本にいた時は微妙な印象しかないけど欧州でちゃんと成長しているのかな,NEUTRAL (0.582),0.582,強く反対 (0.281),0.281
19,2425(オーストリア2部) 14試合1得点 2324(オーストリア2部) 27試合7得点 2223(スイス2部) 31試合2得点 2122(スイス2部) 14試合3得点 2021(スイス2部) 32試合3得点 1920(スイス1部) 25試合4得点 1819(スイス2部) 27試合2得点 ほぼ2部だけど謎の得点力があるな,POSITIVE (0.348),0.348,強く反対 (0.283),0.283
20,いつもの事ながら数値的な部分はちゃんと見て取ってるんだろうけどサポ的にはどんな選手になってんのか全くわからんなw,NEGATIVE (0.271),0.271,強く反対 (0.269),0.269
21,ハイラインやらないならでかいのは必要だなあ 3バックのセンター候補なのかな,NEUTRAL (0.770),0.77,強く反対 (0.276),0.276
22,西野とシティが連携した結果取ったんだよね 期待してくださいって言ってたし信じるぞ,POSITIVE (0.967),0.967,強く反対 (0.249),0.249
23,それなら上島エドゥ畠中残せよ 何かオーストリア二部でスタッツ良かったりするんか,POSITIVE (0.543),0.543,強く反対 (0.281),0.281
24,まあ空中戦はめちゃ強かもな,NEUTRAL (0.276),0.276,強く反対 (0.294),0.294
26,VARじゃないの,NEUTRAL (0.798),0.798,強く反対 (0.279),0.279
27,ブラジルはそんなもの関係ないくらい強かっただろw,POSITIVE (0.335),0.335,強く反対 (0.268),0.268
28,十年前のミネイロンの悲劇の時点で弱かったろ その後駄目なままなのはオスカルが金に走ったからだろうな まぁアザールが凄すぎて立場失ってたけど コウチーニョも一発屋 ネイマール1人マークしときゃ良いチームになった 強いブラジルには怪物が複数いた パトの早期離脱も痛かったな 遠い昔の選手に感じるけどネイマールオスカルコウチーニョとそれほど変わらずまだ35なんだよな その後はヴィニシウスロドリゴまでの十年もの間1人も怪物候補すら現れず そもそもヨーロッパに早くに渡って活躍した選手なんかいたっけ,NEUTRAL (0.419),0.419,賛成 (0.253),0.253
29,なんだかんだでネイマールは凄かったんだよな,POSITIVE (0.328),0.328,強く反対 (0.278),0.278
30,ネイマールは凄かったがその一昔前ならネイマールクラスが数人いたからな ネイマールが全部背負う必要もなかった,NEUTRAL (0.270),0.27,強く反対 (0.243),0.243
31,23人で強引に取りに行く中南米サッカー好きよ ユーロよりコパの方が楽しい 熱いし,POSITIVE (0.959),0.959,強く反対 (0.275),0.275
32,全盛期はロナウドロナウジーニョリバウドロベカルとかが居た2002ワールドカップのチームだな そこからはスター選手が少ないな,NEUTRAL (0.510),0.51,強く反対 (0.248),0.248
33,残念だな ロシア・カタール大会のどちらかで優勝すると予想していたのに ネイマールが決めてクロアチアに勝ったと思っていたのに,NEGATIVE (0.455),0.455,強く反対 (0.257),0.257
34,地球全体じゃなくてブラジルが南米で普通になっちゃった理由でしょ サッカーをやる理由が無いからブラジルの人口が意味を持たなくなった,NEUTRAL (0.186),0.186,強く賛成 (0.244),0.244
35,わがままなエースのワンマンチームが実は正解なのかも まあエースの調子が悪くなったら駄目だけど勢い付いたら凄いからね,POSITIVE (0.636),0.636,強く反対 (0.262),0.262
36,変化は必要だけど伝統も大事なんだよ 伝統の4バックを捨てて優勝したりして基本スタイルがブレてしまった まぁロベカルとカフーどころかCBのルシオまで攻撃参加しまくって崩壊してたけどさ,NEGATIVE (0.682),0.682,強く反対 (0.248),0.248
37,そもそもロロコンビの時代頃既にとっくに欧州でカナリアは羽ばたいてなかったっけ,NEUTRAL (0.532),0.532,強く反対 (0.259),0.259
38,ロナウドは16くらいでオランダ行ってたけどロマーリオは22くらいのようだ,NEUTRAL (0.864),0.864,強く賛成 (0.269),0.269
39,1番大きいのはVARだろうけど ブラジルの個人技が ヨーロッパの戦術に負けたって事もあるだろうな,NEUTRAL (0.435),0.435,強く反対 (0.272),0.272
40,ブラジルと言えば華麗なテクニックや個人技 貧乏な子供たちでも路地裏で黙々と練習してきた賜物 今はそんな子供たちは居ない 日本の相撲取りが居なくなったのと同じ,NEUTRAL (0.447),0.447,賛成 (0.255),0.255
41,今は若い時に欧州クラブ移籍して成功すれば 大金手に出来てそこでもう人生ゴールになるから 名誉の為の代表はあんまりモチベが上がらんだろうな,NEGATIVE (0.435),0.435,賛成 (0.256),0.256
42,現代サッカーは曲芸する暇もないくらい全てが速いからな 良い意味での遊びのサッカーが出来なくなったから弱い,NEGATIVE (0.955),0.955,強く反対 (0.267),0.267
43,アスリート的なフィジカルとチーム戦術ありきの時代に魔法使いみたいな選手がいてもってのは思う まあその魔法使いも今はいないみたいだけど,NEUTRAL (0.631),0.631,強く賛成 (0.242),0.242
44,別にアルゼンチンは世界のトップだから南米が弱いとかヨーロッパがどうこうではないんだよな ブラジルだけが弱くなってる原因,NEGATIVE (0.736),0.736,強く反対 (0.263),0.263
45,ブラジルとアルゼンチンの決定的な違いこそ監督の質だな,NEUTRAL (0.747),0.747,強く反対 (0.250),0.25
46,アルゼンチン代表のスタッフ陣はレジェンドばかりなのにブラジルは寂しいもんだよね アンダー世代もクラブ監督もそうだし,NEGATIVE (0.955),0.955,強く反対 (0.258),0.258
47,アルゼンチン人監督は優秀なの揃ってる ビエルサ・ガルネーロ・ロレンソ・スカローニ・シメオネ まだまだいるぞ,POSITIVE (0.909),0.909,強く反対 (0.267),0.267
48,ポチェも,NEUTRAL (0.855),0.855,強く賛成 (0.231),0.231
49,最後の大物と言われたビアンチが失敗した後がブラジルとの差になったのかもな,NEUTRAL (0.559),0.559,強く反対 (0.246),0.246
50,ブラジルが本気で走れ走れサッカーやればすぐ復権するよ 戦術も個人技も走れ走れサッカーに適応したものになるだろうし でもブラジルの国民性として走れ走れサッカーは好まないだろうし難しいな,NEGATIVE (0.626),0.626,賛成 (0.268),0.268
51,カタールW杯のブラジル代表メンバー見たら妥当な結果だと思うけど かつてのブラジル代表ならラフィーニャとかパケタとかフレッジとかスタメンで見る格の選手じゃないだろ,NEGATIVE (0.320),0.32,強く賛成 (0.252),0.252
52,リシャルリソンがエース扱いとかねーわな,NEUTRAL (0.546),0.546,強く反対 (0.300),0.3
53,まあ時代やサッカーの変化に着いていけなかったんだろうが最大の劣化は監督だろうな でなんでアルゼンチンとこんなに監督の差があるんだ,NEGATIVE (0.404),0.404,強く反対 (0.249),0.249
54,今のサッカーは戦術が進化しまくってるから一昔前のブラジル黄金時代も現代では通用しないよ スペースないし個人技放置してもらえないから,NEGATIVE (0.922),0.922,強く反対 (0.264),0.264
55,なんだかんだでブラジルの神童とか言われる選手は 17歳とかでビッグクラブから唾つけられたりするし 枯渇はしてないんじゃない,NEGATIVE (0.538),0.538,強く反対 (0.256),0.256
56,南米を知らない選手が増えたのは確かに影響してるわな 南米予選見たら明らかに萎縮してる あの殺伐とした雰囲気は欧州にはもう無いし,NEGATIVE (0.788),0.788,強く反対 (0.283),0.283
57,2024年リベルタドーレス決勝 アトレチコ・ミネイロ対ボタフォゴ,NEUTRAL (0.373),0.373,強く反対 (0.259),0.259
58,やっているサッカー自体が欧州となんら変わらなくなってしまってる 後は個々の技量で差を出すんだろうけど世界的にみればその差も無くなってる,NEUTRAL (0.472),0.472,強く反対 (0.240),0.24
59,ブラジル本国でのビッククラブ人気が思ってる以上に高いのもでかい マーケティング要素も込みでブラジル人の若手を獲るようになったから 要は過大評価されてんだよブラジル人選手は,NEGATIVE (0.610),0.61,強く反対 (0.259),0.259
60,逆でしょ 世界のサッカーの進歩に取り残された プライドが高過ぎるが故に まともな監督がいないのがその証拠 ブラジルの監督は今やJリーグですら通用しない 指導者がそのレベルなんだから推して知るべし,NEGATIVE (0.474),0.474,強く反対 (0.247),0.247
61,バッシングが酷すぎて監督になるのは罰ゲームみたいになってるんだよ 最近やっとフィリペルイスが監督になったくらいで他に誰もやりたがらない,NEGATIVE (0.868),0.868,強く反対 (0.257),0.257
62,割とマジでスマホのせいだろ 今や最貧国のガキですらスマホでティックトックみてるからな スポーツが金持ちの娯楽になった,NEUTRAL (0.534),0.534,強く賛成 (0.247),0.247
63,自国W杯でドイツに虐殺されたのが10年前か あんな地獄絵図見せられればトラウマにもなろうで,NEGATIVE (0.825),0.825,強く反対 (0.294),0.294
64,ミネイロンの惨劇懐かしいな マラカナンの悲劇に続くブラジルサッカー史上2番目のトラウマ,NEGATIVE (0.888),0.888,強く賛成 (0.239),0.239
65,自国開催で優勝目指してるなかの 大一番であんな一方的虐殺ショーを 世界中に公開されたら ブラジル人じゃなくても戦慄覚えるわ ブラジル国内の惨状凄かったそうじゃないか,NEGATIVE (0.830),0.83,賛成 (0.248),0.248
66,余程トラウマだったのだろう 日本がW杯でドイツに勝った時にブラジル人が大喜びしてた おまえらよっわwwwだっせえwwwってドイツ人を煽ってた それを見ていたアルゼンチン人がおまえら日本より弱いってことやんwwwって言ったらブラジル人が発狂してた,NEGATIVE (0.731),0.731,強く賛成 (0.257),0.257
67,走りまくるブラジルもなんか違うよな 走りまくってる相手を嘲笑うサッカーが見たいけどもう無理なんやろな,NEGATIVE (0.812),0.812,強く反対 (0.251),0.251
68,VARより5人交代だろ相手側の,NEUTRAL (0.782),0.782,強く反対 (0.272),0.272
69,全然違うぞ かつてはデコボコの地面でみんなサッカーやってたから自然とボールコントロールが上手くなっていった でも今は舗装されてるしクラブでも芝のフィールド だからテクニックがある選手が昔より減ってんだよ,NEGATIVE (0.648),0.648,賛成 (0.259),0.259
70,ブラジルは下のカテゴリだと芝でも デコボコでどろんこピッチとか未だにある,NEUTRAL (0.474),0.474,強く反対 (0.275),0.275
71,ブラジルも心機一転外国人監督にすりゃいいのに プライドが邪魔するんだろうな,NEGATIVE (0.935),0.935,強く反対 (0.277),0.277
72,とは言えやりたい外国人がいるかな,POSITIVE (0.430),0.43,強く反対 (0.296),0.296
73,アンチェロッティの噂あったけど結局ドリヴァウ・ジュニオールになった でも彼はブラジル国内での監督経験しかないんだよ,NEUTRAL (0.155),0.155,強く反対 (0.254),0.254
74,アンチェも数年前のネイマやフィルミコウチとかが最盛期で揃い踏みしてた頃ならまだしも今のヴィニロドリゴパケタとかの面々だと厳しいわな ブラジル人監督にロクなのいないのは分かるがそもそものタレント不足と連動してるからね,NEGATIVE (0.452),0.452,強く反対 (0.256),0.256
75,この10年くらいで戦術も選手の必要とされる能力も 蹴った時のボールの伸びも大きく変わったじゃん 個人技や発想はあくまでアクセントでそれ頼みの戦術は通用しなくなっただけでしょ,NEUTRAL (0.599),0.599,強く反対 (0.234),0.234
76,ブラジル人特有のサッカー好きの足技が減ってきてるよな エンドリッキにしてもスマートになってるつうか ロナウジーニョやネイマールみたいのはもう出てきてないね,NEGATIVE (0.363),0.363,強く賛成 (0.277),0.277
77,ヨーロッパの育成と戦術が進化しすぎて才能だけで戦ってきたブラジルが太刀打ちできなくなっただけでしょ プロ意識も低い選手多いからなかなか規律重視のトップクラブに取ってもらえねぇし,NEGATIVE (0.917),0.917,強く反対 (0.257),0.257
78,欧州勢が強くなったというのもある 前回のワールドカップではクロアチアに力負けしてるし 相手がドイツやフランスやイタリアならともかくブラジルがスペインやクロアチアやベルギーに大苦戦するなんて昔はなかった,NEUTRAL (0.225),0.225,強く反対 (0.253),0.253
79,欧州勢がテクニックある選手が増えたと言うのはあるよな ブラジルの選手は周り見ないでドリブルする自己中が多いからそんな選手今の時代活躍無理だし,NEGATIVE (0.651),0.651,強く反対 (0.270),0.27
80,FWもだけど中盤がアルゼンチンとはだいぶ差があると思う アルゼンチンは中盤にマクアリエンソデパウルロチェルソパラシオスとかいてここに若手有望株のニコ・パスも加わるだろうからバランスいいが ブラジルはギマランイスパケタジェルソンアンドレジョアンゴメスとか強度は高いけど創造性には欠ける,NEGATIVE (0.548),0.548,強く反対 (0.242),0.242
81,個人技でどうこうするサッカーじゃなくなったからだろ 攻撃の選手も守備が下手だとお荷物になるからな,NEUTRAL (0.399),0.399,強く反対 (0.283),0.283
82,テクニックや近寄れない格みたいなのを合理的に潰せるようになったからじゃないの 逆に言えば昔が良いって言われてる魅力の部分はそこ,NEUTRAL (0.346),0.346,強く反対 (0.259),0.259
83,黄金期から比べればタレントは数段落ちるとはいえ 未だにプレミア中堅の主力になるくらいの選手は沢山揃ってる それなりの外人監督ならベスト4には何回か入っててもおかしくはない,POSITIVE (0.994),0.994,強く反対 (0.245),0.245
84,ブラジル国民・マスコミ・関係者がプレッシャー与えすぎなんだよ 中堅以下の国相手には舐めプリラックスして楽勝 優勝候補相手にはガチガチになってほぼ全敗 2006年以降W杯でpot1(もしくはそこに勝った)相手に1勝6敗だぞ 日本より勝率悪い,NEGATIVE (0.929),0.929,強く反対 (0.275),0.275
85,今だと有望な若手はそれこそ10代の頃に引き抜かれちゃうからなあ で名前が出た面々も本来ならもう23年母国でプレーして ブラジル人らしさを身に着けてから渡欧した方がよかったように思える,NEUTRAL (0.268),0.268,強く反対 (0.258),0.258
86,コパ見たら普通に弱かったな 上手いのはヴィニだけで他は大したことない上にアルゼンチンやコロンビアのような獰猛な守備を見せることもない 言うほどヨーロッパ的でもなくただ怠惰なだけ,NEUTRAL (0.220),0.22,強く反対 (0.287),0.287
87,アルヘンやウルグアイコロンビアチリとか他の南米国はバルサやシティみたいなシステマチックなサッカーをやれる土壌あるけどブラジルはそんな戦術よりタレントを生かすレアル的なサッカー好まれるから今更そんなサッカー出来ないってのが本音だろ 仮に戦術や組織的なサッカーしても今の欧州や他の南米の方がより強いしね,NEGATIVE (0.399),0.399,賛成 (0.262),0.262
88,ブラジルはまただんだんタレント揃ってきたから まともな監督ならまた準決辺りまで行けるだろう上手くかみ合えば優勝も無理ではない,POSITIVE (0.832),0.832,強く反対 (0.250),0.25
89,あと1週間で延長まとまらなかったらサラー アーノルド ファンダイクの誰かがいなくなっちゃう可能性あるのか サウジがチーム買ってくれるとかいう話も立ち消えたしケチケチオーナーだからちょっと怖くなってきたな 経営手腕は素晴らしいんだろうけどケチ過ぎるんだよな,NEGATIVE (0.753),0.753,強く反対 (0.263),0.263
90,アーノルドはフロントにレアルに行きたいと伝えたそうだ ダイクとサラーは残留濃厚,POSITIVE (0.032),0.032,賛成 (0.244),0.244
91,スペイン紙の情報は一切信用しなくていい とりあえずダニオルモがフリーになるそうだがさすがに狙わんか,NEUTRAL (0.953),0.953,強く反対 (0.273),0.273
92,ロマーノが自分のアーノルドは特に意思表示してないって投稿をさっきリポストしてるからマルカの記事を否定してると見ていいのか,NEUTRAL (0.989),0.989,強く反対 (0.275),0.275
93,FSGのケチっぷりではアーノルドが仮に移籍しても文句言えないなぁ,NEUTRAL (0.869),0.869,強く反対 (0.290),0.29
94,カルバハルが1年は離脱確定だからマドリードがアーノルドを欲しがってるってところだろうなあ,NEUTRAL (0.758),0.758,強く反対 (0.289),0.289
95,まぁアーノルドは残るでしょ 6歳から所属してて課題だった守備面も修正してくれたチームを裏切るわけがない,POSITIVE (0.797),0.797,強く反対 (0.289),0.289
96,アーノルドはいつまでもリヴァプールの赤と自分のインスタストーリーで示唆しているからな,NEUTRAL (0.648),0.648,強く反対 (0.306),0.306
97,アーノルドがインタビューとか何も答えてないのに年俸望んでるとか序列求めてるとか本人の得体の知れない意見出ても全部妄想だからな 残るだろうよ,NEGATIVE (0.931),0.931,強く反対 (0.294),0.294
98,リバプール側の有力記者から出てきたらあれだけど誰も呟いてないからなw,NEUTRAL (0.620),0.62,強く反対 (0.313),0.313
99,アーノルド話かなり進んでてもう来夏確定っぽいな,NEUTRAL (0.430),0.43,強く反対 (0.282),0.282
100,契約延長はどうせ決まるのは1月2月になったら焦れと言ったろ,NEGATIVE (0.685),0.685,強く反対 (0.326),0.326
1,リヴァプールの有力なとこがなんも言ってなくてレアルの情報垢だけ必死に言ってるのがもう察するよね そしてアーノルド本人も何も言わずリヴァプールにだけ関わっているあたりもうリヴァプール一筋,NEGATIVE (0.358),0.358,強く反対 (0.264),0.264
2,そうなの マルカの情報はガセならいいけど,NEUTRAL (0.375),0.375,強く反対 (0.274),0.274
3,スペイン系のメディアは自分たちの願望を書くこと多いマルカ然りムンドデポルティーヴォ然り多分揺さぶり記事だと思うよ,NEGATIVE (0.142),0.142,強く反対 (0.260),0.26
4,マドリーの右SBは離脱中の32歳カルバハルと33歳のバスケスだからな アーノルドが移籍するタイミングとしては絶好か,POSITIVE (0.157),0.157,強く反対 (0.272),0.272
5,移籍するにしてもフリーはダメだろ それこそ1番の裏切りなんじゃないか,NEGATIVE (0.964),0.964,強く反対 (0.290),0.29
6,フリーの方が遺恨がないかもしれないけどクラブとしては移籍金残してくれたほうがいい,NEUTRAL (0.140),0.14,強く反対 (0.260),0.26
7,フリーとかありえねえ 移籍するにしても金残していくのがクラブへの恩返しだろ,POSITIVE (0.419),0.419,強く反対 (0.274),0.274
8,アザールはリールからチェルシーに移籍する時直前に契約延長して移籍金残していったからな ダイクサラーみたいなベテランの功労者は本人を尊重してフリーでもいいけど26歳のアーノルドはこれくらいのことくらいはしてくれ,NEUTRAL (0.896),0.896,強く反対 (0.253),0.253
9,ディアスのCF覚醒 アーノルドの守備向上 ガクポの得点力増加 元々あったポテンシャルがガンガン引き出されていく素晴らしさ,POSITIVE (0.968),0.968,強く反対 (0.251),0.251
10,アーノルドは元々言うほど守備酷くなかったんだけどなあ 急に体デカくなったからその影響で12年キレが少し落ちて付いていけなくなってたんだと思ってるわ,NEGATIVE (0.701),0.701,強く賛成 (0.262),0.262
11,昨季のアーノルドは特に酷かった 下手とかじゃなくて守る気すらなかった,NEGATIVE (0.894),0.894,強く反対 (0.244),0.244
12,アーノルドはある時いきなり体ゴツくなったよな それは覚えてるわ,NEUTRAL (0.347),0.347,強く反対 (0.278),0.278
13,アーノルドはトップ定着した頃は散々ワンクラブマンになりたいリバプールのキャプテンになりたい言ってのでなんだかなぁ レアル行きたいなら行けばいいと思うが周囲からはすげぇ止められてそう,NEGATIVE (0.781),0.781,強く反対 (0.274),0.274
